Id	Source	Target	Developer Note	Max Length	Comment	Xliff Generator Note	NAB AL Tool Refresh Xlf	State	State Qualifier
Page 4231056254 - Control 1312499801 - Property 1295455071	Specifies the value of the Interaction Template Code field					Page Create Incident - Control Interaction Template Code - Property ToolTip	New translation.		
Page 4231056254 - Control 4286075827 - Property 1295455071	Specifies the value of the potencial solución field					Page Create Incident - Control Proposed solution - Property ToolTip	New translation.		
Page 4231056254 - Control 2378863201 - Property 1295455071	Specifies the value of the Contact Name field					Page Create Incident - Control Contact Name - Property ToolTip	New translation.		
Page 4231056254 - Control 202036913 - Property 1295455071	Specifies the value of the Contact No. field					Page Create Incident - Control Contact No. - Property ToolTip	New translation.		
Page 4231056254 - Control 2070365044 - Property 2879900210	Specifiec the value of theDepartament Code field					Page Create Incident - Control Departament Code - Property Caption	New translation.		
Page 4231056254 - Control 3461834954 - Property 1295455071	Specifies the value of the Description field					Page Create Incident - Control Description - Property ToolTip	New translation.		
Page 4231056254 - Control 1007358516 - Property 1295455071	Specifies the value of the Description incidencia field					Page Create Incident - Control Description Incident - Property ToolTip	New translation.		
Page 4231056254 - Control 486908828 - Property 1295455071	Specifies the value of the Document No. field					Page Create Incident - Control Document No. - Property ToolTip	New translation.		
Page 4231056254 - Control 3337557211 - Property 1295455071	Specifies the value of the Incident No. field					Page Create Incident - Control Incident No. - Property ToolTip	New translation.		
Page 4231056254 - Control 3081911211 - Property 2879900210	Specifiec the value of the Responsible Code field					Page Create Incident - Control Responsible Code - Property Caption	New translation.		
Page 4231056254 - Control 2107171397 - Property 2879900210	Specifiec the value of the Responsible Name field					Page Create Incident - Control Responsible Name - Property Caption	New translation.		
Page 4231056254 - Control 553464652 - Property 1295455071	Specifies the value of the Salesperson Code field					Page Create Incident - Control Salesperson Code - Property ToolTip	New translation.		
Page 4231056254 - Control 513339096 - Property 2879900210	Specifiec the value of the Status field					Page Create Incident - Control Status - Property Caption	New translation.		
Page 882149755 - Property 2879900210	Quality Composition Value Entry.al					Page Quality Compos. Value Entry - Property Caption	New translation.		
Page 882149755 - NamedType 2287364172	Cancel reservation of %1 of item number %2, reserved for %3 from %4?					Page Quality Compos. Value Entry - NamedType CancelReservationQst	New translation.		
Page 882149755 - Control 1407200743 - Property 1295455071	Specifies the date on which the entry was created.					Page Quality Compos. Value Entry - Control Creation Date - Property ToolTip	New translation.		
Page 882149755 - Control 3461834954 - Property 1295455071	Specifies a description of the reservation entry.					Page Quality Compos. Value Entry - Control Description - Property ToolTip	New translation.		
Page 882149755 - Control 883711285 - Property 1295455071	Specifies the number of the entry, as assigned from the specified number series when the entry was created.					Page Quality Compos. Value Entry - Control Entry No. - Property ToolTip	New translation.		
Page 882149755 - Control 568743302 - Property 1295455071	Specifies the number of the item that has been reserved in this entry.					Page Quality Compos. Value Entry - Control Item No. - Property ToolTip	New translation.		
Page 882149755 - Control 1482668068 - Property 1295455071	Specifies the lot number of the item that is being handled with the associated document line.					Page Quality Compos. Value Entry - Control Lot No. - Property ToolTip	New translation.		
Page 882149755 - Control 3346356419 - Property 1295455071						Page Quality Compos. Value Entry - Control Max. Value - Property ToolTip	Source contains only white-space, consider using 'Locked = true' to avoid translation of unnecessary texts. This note can be toggled with the setting 'NAB.PreferLockedTranslations'.		
Page 882149755 - Control 2021910041 - Property 1295455071						Page Quality Compos. Value Entry - Control Min. Value - Property ToolTip	Source contains only white-space, consider using 'Locked = true' to avoid translation of unnecessary texts. This note can be toggled with the setting 'NAB.PreferLockedTranslations'.		
Page 882149755 - Control 4240543679 - Property 1295455071	Specifies the package number of the item that is being handled with the associated document line.					Page Quality Compos. Value Entry - Control Package No. - Property ToolTip	New translation.		
Page 882149755 - Control 1251542347 - Property 1295455071	Specifies the status of the reservation.					Page Quality Compos. Value Entry - Control Quality Status - Property ToolTip	New translation.		
Page 882149755 - Control 3263329074 - Property 1295455071	Specifies the journal batch name if the reservation entry is related to a journal or requisition line.					Page Quality Compos. Value Entry - Control Source Batch Name - Property ToolTip	New translation.		
Page 882149755 - Control 345314420 - Property 1295455071	Specifies which source ID the reservation entry is related to.					Page Quality Compos. Value Entry - Control Source ID - Property ToolTip	New translation.		
Page 882149755 - Control 627063663 - Property 1295455071	Specifies a reference number for the line, which the reservation entry is related to.					Page Quality Compos. Value Entry - Control Source Ref. No. - Property ToolTip	New translation.		
Page 882149755 - Control 1753214751 - Property 1295455071	Specifies for which source type the reservation entry is related to.					Page Quality Compos. Value Entry - Control Source Type - Property ToolTip	New translation.		
Page 882149755 - Control 1131619133 - Property 1295455071						Page Quality Compos. Value Entry - Control Value - Property ToolTip	Source contains only white-space, consider using 'Locked = true' to avoid translation of unnecessary texts. This note can be toggled with the setting 'NAB.PreferLockedTranslations'.		
Page 882149755 - Control 3450651614 - Property 1295455071	Specifies the variant of the item on the line.					Page Quality Compos. Value Entry - Control Variant Code - Property ToolTip	New translation.		
Page 882149755 - Action 3106002577 - Property 2879900210	F&unctions					Page Quality Compos. Value Entry - Action F&unctions - Property Caption	New translation.		
Page 882149755 - Action 3836476898 - Property 1295455071	Cancel the selected values entry.					Page Quality Compos. Value Entry - Action CancelValues - Property ToolTip	New translation.		
Page 882149755 - Action 3836476898 - Property 2879900210	Cancel values					Page Quality Compos. Value Entry - Action CancelValues - Property Caption	New translation.		
Page 3587107671 - Property 2879900210	Activities					Page Quality Manager Activities - Property Caption	New translation.		
Page 3587107671 - Control 3419015742 - Property 2879900210	For Release					Page Quality Manager Activities - Control For Release - Property Caption	New translation.		
Page 3587107671 - Control 39344658 - Property 1295455071	Specifies the number of Composition Quality opened.					Page Quality Manager Activities - Control Comp. Qlty - Open - Property ToolTip	New translation.		
